nom;annee
Phil Barney;1957-02-02
Michel Barnier;1951-01-09
François Baroin;1965-06-21
Sacha Baron Cohen;1971-10-13
Olivier Baroux;1964-01-05
Jean-Marc Barr;1960-09-27
Roseanne Barr;1952-11-03
Marie-Christine Barrault;1944-03-21
Raymond Barre;1924-04-12
Syd Barrett;1946-01-06
Maurice Barrier;1932-06-08
Alain Barrière;1935-11-18
Lucien Barrière;1923-01-14
José Manuel Barroso;1956-03-23
Clyde Barrow;1909-03-24
John Barry;1933-11-03
Gene Barry;1919-06-14
Drew Barrymore;1975-02-22
Claire Barsacq;1980-12-10
Jean Bart;1650-10-21
Maurice Barthélemy;1969-05-23
Yann Barthès;1974-10-09
Fabien Barthez;1971-06-28
Auguste Bartholdi;1834-08-02
Claude Bartolone;1951-07-29
Michèle Barzach;1943-07-11
Claude Barzotti;1953-07-23
Alain Bashung;1947-12-01
Kim Basinger;1953-12-08
Marianne Basler;1964-03-09
Pascal Bataille;1960-01-25
Jason Bateman;1969-01-14
Kathy Bates;1948-06-28
Batman;1939-03-30
Giovanni Battista Pergolesi;1710-01-04
Patrick Battiston;1957-03-12
Charles Baudelaire;1821-04-09
Dominique Baudis;1947-04-14
Patrick Baudry;1946-03-06
Axel Bauer;1961-04-07
Anaïs Baydemir;1979-07-20
Nathalie Baye;1948-07-06
Virgile Bayle;1971-09-01
François Bayrou;1951-05-25
Hervé Bazin;1911-04-17
Jennifer Beals;1963-12-19
Sean Bean;1959-04-17
Emmanuelle Béart;1963-08-14
Guy Béart;1930-07-16
Warren Beatty;1937-03-30
Ned Beatty;1937-07-06
Christophe Beaugrand;1977-01-02
Beaumarchais;1732-01-24
Bécassine;1905-02-02
Gilbert Bécaud;1927-10-24
Thierry Beccaro;1956-10-19
Sidney Bechet;1897-05-14
Boris Becker;1967-11-22
Jean Becker;1938-05-10
Samuel Beckett;1906-04-13
David Beckham;1975-05-02
Victoria Beckham;1975-04-17
Kate Beckinsale;1973-07-26
Ramzy Bedia;1972-03-10
Natasha Bedingfield;1981-11-26
Guy Bedos;1934-06-15
Nicolas Bedos;1980-04-21
Azouz Begag;1957-02-05
Amandine Bégot;1981-02-21
Valérie Bègue;1985-09-26
Frederic Beigbeder;1965-09-21
Jean-Jacques Beineix;1946-10-08
Maurice Béjart;1927-01-01
Bérénice Bejo;1976-07-07
Leïla Bekhti;1984-03-06
Frédérique Bel;1975-03-24
Barbara Bel Geddes;1922-10-31
Malgosia Bela;1977-06-06
Harry Belafonte;1927-03-01
Marcel Béliveau;1939-11-19
Anna Belknap;1972-05-22
Kristen Bell;1980-07-18
Lake Bell;1979-03-24
Marie-Paule Belle;1946-01-25
Camilla Belle;1986-10-02
Pierre Bellemare;1929-10-21
Georges Beller;1946-01-10
Laure Belleville;1976-01-24
Maria Bello;1967-04-18
Monica Bellucci;1964-09-30
Jean-Paul Belmondo;1933-04-09
Paul Belmondo;1963-04-23
John Belushi;1949-01-24
James Belushi;1954-06-15
Abdelaziz ben Abderrahman;1876-01-15
David Ben Gourion;1886-10-16
Oussama Ben Laden;1957-03-10
Bénabar;1969-06-16
Valérie Benaïm;1969-08-30
Bruce Benamran;1977-03-01
Pat Benatar;1953-01-10
Samuel Benchetrit;1973-06-26
Dirk Benedict;1945-03-01
Jean Benguigui;1944-04-08
Valérie Benguigui;1965-11-06
Pierre Bénichou;1938-03-01
Maurice Bénichou;1943-01-23
Roberto Benigni;1952-10-27
Annette Bening;1958-05-29
Gilles Benizio;1957-06-01
Corinne Benizio;1962-02-12
Julien Benneteau;1981-12-20
Chester Bennington;1976-03-20
Benoît XVI;1927-04-16
Rayane Bensetti;1993-04-09
George Benson;1943-03-22
Amel Bent;1985-06-21
Wes Bentley;1978-09-04
Didier Bénureau;1956-10-28
Julie Benz;1972-05-01
Carl Benz;1844-11-25
Karim Benzema;1987-12-19
Macha Béranger;1941-07-22
Alain Berberian;1953-06-02
Pierre Bérégovoy;1925-12-23
Tom Berenger;1950-05-31
Marisa Berenson;1947-02-15
Pierre Bergé;1930-11-14
Michel Berger;1947-11-28
Eric Berger;1969-06-13
Senta Berger;1941-05-13
Helmut Berger;1944-05-29
Ingrid Bergman;1915-08-29
Ingmar Bergman;1918-07-14
Henri Bergson;1859-10-18
François Berléand;1952-04-22
Charles Berling;1958-04-30
Hector Berlioz;1803-12-11
Silvio Berlusconi;1936-09-29
Stéphane Bern;1963-11-14
Tristan Bernard;1866-09-07
Alain Bernard;1983-05-01
Sarah Bernhardt;1844-10-22
Michèle Bernier;1956-08-02
Marwan Berreni;1988-12-04
Claude Berri;1934-07-01
Jackie Berroyer;1946-05-24
Richard Berry;1950-07-31
Halle Berry;1966-08-14
Marilou Berry;1983-02-01
Chuck Berry;1926-10-18
Jean-Yves Berteloot;1957-08-27
Louis Bertignac;1954-02-23
Françoise Bertin;1925-09-23
Bernardo Bertolucci;1941-03-16
Plastic Bertrand;1954-02-24
Xavier Bertrand;1965-03-21
Olivier Besancenot;1974-04-18
Dominique Besnehard;1954-02-05
Luc Besson;1959-03-18
Éric Besson;1958-04-02
Ingrid Betancourt;1961-12-25
Paul Bettany;1971-05-27
Liliane Bettencourt;1922-10-21
Priscilla Betti;1989-08-02
Beyoncé;1981-09-04
Jeff Bezos;1964-01-12
Bézu;1943-07-24
Benazir Bhutto;1953-06-21
Sarah Biasini;1977-07-21
Bibi Fricotin;1924-10-05
Marcel Bich;1914-07-29
Demián Bichir;1963-08-01
Jean-Luc Bideau;1940-10-01
Justin Bieber;1994-03-01
Charles Biétry;1943-11-05
Jean-Marie Bigard;1954-05-17
Jason Biggs;1978-05-12
Enki Bilal;1951-10-07
Daniel Bilalian;1947-04-10
Buffalo Bill;1846-02-26
Rachel Bilson;1981-08-25
Fan Bingbing;1981-09-16
Juliette Binoche;1964-03-09
Benjamin Biolay;1973-01-20
Bip Bip;1949-09-17
Maitena Biraben;1967-07-02
Maurice Biraud;1922-03-03
Jane Birkin;1946-12-14
Jacqueline Bisset;1944-09-13
Josie Bissett;1970-10-05
Bill Bixby;1934-01-22
Georges Bizet;1838-10-25
Björk;1965-11-21
Christian Blachas;1946-06-16
Frank Black;1965-04-06
Jack Black;1969-08-28
Black M;1984-12-27
Manolo Blahnik;1942-11-27
David Blaine;1973-04-04
Tony Blair;1953-05-06
Selma Blair;1972-06-23
Linda Blair;1959-01-22
Pierre Blaise;1955-06-11
Dominique Blanc;1962-04-25
Michel Blanc;1952-04-16
Gérard Blanc;1947-12-08
Éric Blanc;1965-10-13
Laurent Blanc;1965-11-19
Mel Blanc;1908-05-30
Rachel Blanchard;1976-03-19
Gérard Blanchard;1953-02-07
Francis Blanche;1921-07-20
Roland Blanche;1943-12-31
Cate Blanchett;1969-05-14
Serge Blanco;1958-08-31
Anne-Élisabeth Blateau;1976-07-28
Alexis Bledel;1981-09-16
Yasmine Bleeth;1968-06-14
Lætitia Bléger;1981-04-10
Louis Blériot;1872-07-01
Jean-Louis Blèze;1927-08-01
Bernard Blier;1916-01-11
Bertrand Blier;1939-03-14
Dan Blocker;1928-12-10
Thylane Blondeau;2001-04-05
Marc Blondel;1938-05-02
Adeline Blondieau;1971-02-09
Alpha Blondy;1953-01-01
Orlando Bloom;1977-01-13
Léon Blum;1872-04-09
James Blunt;1974-02-22
Emily Blunt;1983-02-23
Louison Bobet;1925-03-12
Laurence Boccolini;1963-05-08
Andrea Bocelli;1958-09-22
Paul Bocuse;1926-02-11
Humphrey Bogart;1899-12-25
Grichka Bogdanoff;1949-08-29
Igor Bogdanoff;1949-08-29
Alain Boghossian;1970-10-27
Richard Bohringer;1941-01-16
Romane Bohringer;1970-08-14
Lou Bohringer;1989-10-04
Emmanuelle Boidron;1978-08-04
Nicolas Boileau;1636-11-01
Yves Boisset;1939-03-14
Christine Boisson;1955-04-08
Jean-Bedel Bokassa;1921-02-22
Marc Bolan;1947-09-30
Basile Boli;1967-01-02
Faustine Bollaert;1979-03-20
Vincent Bolloré;1952-04-01
Usain Bolt;1986-08-21
Alain Bombard;1924-10-27
Matthew Bomer;1977-10-11
Jon Bon Jovi;1962-03-02
Jérôme Bonaldi;1952-09-17
Surya Bonaly;1973-12-15
Olivia Bonamy;1972-09-21
Joseph Bonanno;1905-01-18
James Bond;1953-04-13
Omar Bongo;1935-12-30
Helena Bonham Carter;1966-05-26
Jacques Bonnaffé;1958-06-22
Sandrine Bonnaire;1967-05-31
Jean-Paul Bonnaire;1943-10-02
Valérie Bonneton;1970-04-05
Bono;1960-05-10
Pierre Bonte;1932-09-15
Bernie Bonvoisin;1956-07-09
Booba;1976-12-09
Dany Boon;1966-06-26
Betty Boop;1930-08-09
Björn Borg;1956-06-06
Jean-Louis Borloo;1951-04-07
